Country/Region,01-01-1980,01-01-1981,01-01-1982,01-01-1983,01-01-1984,01-01-1985,01-01-1986,01-01-1987,01-01-1988,01-01-1989,01-01-1990,01-01-1991,01-01-1992,01-01-1993,01-01-1994,01-01-1995,01-01-1996,01-01-1997,01-01-1998,01-01-1999,01-01-2000,01-01-2001,01-01-2002,01-01-2003,01-01-2004,01-01-2005,01-01-2006,01-01-2007,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023,01-01-2024,01-01-2025,01-01-2026
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35,2.14,2.85,3.83,5.34,6.23,5.92,8.18,10.06,10.70,15.11,15.53,16.45,17.70,19.74,20.22,23.67,22.06,21.30,21.70,23.98,27.00,28.21,27.84,29.38
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,2.87,3.46,3.49,3.83,3.98,4.17,4.58,5.07,5.64,6.18,6.96,7.05,7.33,7.53,7.57,7.34,8.55,8.88,9.60,10.44,11.01,11.44,10.56,11.77,12.54,13.30,14.03,14.80,15.66
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.73,57.77,56.01,51.23,56.26,61.24,69.35,74.04,64.60,74.02,100.39,96.61,104.99,119.90,124.78,154.09,169.65,167.55,208.77,165.37,175.33,198.07,194.50,178.21,168.57,145.80,134.88,155.65,168.05,166.54,148.74,131.67,143.46,146.89,149.98,154.60,158.45
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.64,16.20,13.58,20.96,23.01,21.42,18.94,20.58,24.45,31.54,43.06,53.45,69.12,53.83,65.84,73.93,76.94,73.44,67.73,49.38,35.90,38.15,47.87,44.21,39.19,45.44,47.02,48.15,49.58,51.14,52.68
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.15,0.15,0.17,0.17,0.19,0.19,0.23,0.22,0.23,0.21,0.25,0.26,0.30,0.32,0.42,0.46,0.46,0.36,0.40,0.37,0.35,0.33,0.35,0.43,0.46,0.39,0.41,0.41,0.37,0.42,0.45,0.51,0.55,0.58,0.61
Argentina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.23,75.92,72.18,74.16,85.14,91.80,91.93,93.52,88.17,75.54,98.90,126.93,146.53,166.05,199.30,217.04,216.20,235.49,256.37,277.08,291.83,290.61,306.69,308.65,357.82,352.30,349.92,308.61,0.00,0.00,0.00,0.00,0.00,0.00
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,1.39,1.05,0.97,1.04,1.22,1.44,1.33,1.53,1.76,1.85,2.14,2.91,3.42,4.45,4.95,4.36,4.58,5.10,5.65,6.33,6.44,6.27,6.73,7.58,8.57,10.03,9.53,9.48,10.72,11.75,12.64,13.45,14.31
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.60,0.59,0.58,0.63,0.67,0.65,0.63,0.82,0.70,0.76,0.82,0.83,1.05,0.85,0.92,0.75,0.77,0.89,0.85,0.93,0.93,0.90,0.96,1.03,0.80,0.76,0.87,1.04,1.15,1.21,1.25
Australia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.33,94.14,98.22,100.59,102.14,109.02,119.00,129.72,142.04,152.11,171.44,194.79,202.97,207.89,216.70,232.45,249.97,266.53,282.07,297.92,295.74,296.82,294.90,308.82,325.28,364.93,376.96,384.55,409.43,432.06,462.51,464.09,465.88,470.12,485.50,512.95,543.83,572.19,598.76
Austria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.05,62.37,68.68,74.53,81.68,88.73,91.93,97.69,105.13,106.27,114.61,111.74,120.33,129.93,133.81,132.08,140.27,147.12,154.23,164.43,171.82,168.11,171.77,180.23,192.00,201.96,206.85,215.46,222.99,232.45,246.19,255.20,237.17,250.15,267.86,281.43,291.04,301.94,313.09
Azerbaijan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.78,3.30,3.45,4.16,4.74,4.86,5.26,12.00,14.71,9.04,11.33,14.51,20.68,29.15,56.26,51.46,61.88,60.56,59.84,63.81,65.06,48.82,48.04,47.63,55.85,62.48,49.46,49.88,54.74,54.46,54.44,54.32,54.58
The Bahamas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.51,0.49,0.55,0.63,0.70,0.72,0.76,0.83,0.86,0.96,1.01,0.90,0.92,0.99,1.17,1.36,1.42,1.49,1.36,1.40,1.59,1.61,1.49,1.64,1.86,2.11,2.31,2.34,2.73,2.15,1.87,2.39,2.81,3.15,3.34,3.50
Bahrain,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.91,4.05,4.25,4.67,4.31,4.51,5.16,5.77,5.02,5.94,8.62,8.34,8.78,9.18,9.64,11.24,11.71,12.28,14.88,11.05,13.21,15.91,17.36,16.48,17.04,11.39,11.20,12.94,16.22,18.37,13.14,17.47,17.17,16.76,16.94,16.44,16.74
Bangladesh,2.43,2.84,3.00,3.20,3.44,3.89,4.23,4.35,4.69,5.20,9.58,10.69,11.27,13.37,14.15,15.14,12.48,13.64,13.83,14.03,15.19,16.57,19.52,21.56,21.86,24.57,27.64,29.41,33.31,34.15,38.82,43.62,53.29,57.18,60.47,58.31,65.62,72.62,75.93,86.67,83.52,89.22,101.41,112.30,123.34,135.27,147.92
Barbados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.69,0.72,0.85,0.85,0.87,0.96,0.97,0.98,1.05,1.04,1.13,1.15,1.23,1.33,1.19,1.14,1.27,1.15,1.09,1.11,1.15,1.29,1.29,1.35,1.48,1.12,1.18,1.33,1.43,1.50,1.56,1.62
Belarus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.96,18.66,22.95,24.43,25.70,23.35,23.82,26.56,30.51,35.69,41.74,48.73,65.04,59.45,58.51,58.75,67.14,71.44,69.92,66.44,65.73,67.21,72.71,72.74,66.75,66.76,68.66,72.15,74.81,77.71,80.14
Belgium,50.27,55.60,60.96,64.06,68.83,72.29,74.02,78.01,82.28,84.97,92.51,98.58,101.38,106.80,112.66,114.81,120.71,128.49,133.78,140.28,147.17,152.95,158.81,161.22,171.12,180.79,190.56,201.22,210.50,206.02,216.74,230.37,245.00,258.23,264.62,267.31,279.47,295.62,308.33,311.47,297.93,316.10,331.47,346.23,359.70,371.68,383.69
Belize,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,0.27,0.28,0.31,0.37,0.40,0.37,0.43,0.47,0.53,0.64,0.69,0.62,0.66,0.71,0.68,0.73,0.75,0.76,0.77,0.80,0.87,0.88,0.75,0.75,0.84,0.94,0.99,1.03,1.07
Benin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.94,0.96,1.13,1.23,1.33,1.54,1.68,1.80,1.83,1.42,1.44,1.58,1.65,1.84,1.98,2.07,2.26,3.06,2.96,3.11,3.00,3.14,3.41,3.61,3.66,3.85,3.64,4.62,5.05,5.69,6.19,6.34,7.03,8.00,8.82,9.56,10.49
Bhutan,0.00,0.12,0.10,0.14,0.15,0.18,0.20,0.25,0.30,0.26,0.23,0.26,0.28,0.38,0.38,0.41,0.48,0.45,0.44,0.57,0.64,0.67,0.68,0.53,0.79,0.78,0.96,1.13,1.27,1.56,1.98,1.72,1.90,1.69,2.02,1.95,2.23,2.22,2.69,2.18,2.65,2.24,2.52,2.62,3.00,3.27,3.48
Bolivia,0.00,4.35,1.09,1.47,0.45,1.50,2.43,2.19,2.43,2.84,3.00,3.54,3.85,4.15,5.00,5.39,5.77,6.38,6.74,7.05,7.40,7.56,7.67,7.90,9.39,11.67,13.97,15.04,18.41,17.66,17.22,20.18,23.23,27.30,30.14,29.22,27.04,29.02,29.13,30.20,26.02,28.50,30.44,31.90,33.38,35.00,37.15
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.77,10.09,10.17,9.66,9.79,10.92,11.52,12.67,14.19,15.09,15.83,15.17,15.82,15.95,16.42,16.85,17.24,17.72,18.72,19.64,21.04,21.54,20.24,21.30,22.57,23.94,25.36,26.79,28.31
Botswana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.76,5.76,6.51,7.17,7.28,8.41,9.76,9.95,10.32,9.14,9.07,10.43,10.17,11.41,13.06,10.28,12.38,11.76,11.34,11.09,9.19,10.64,11.23,13.19,14.29,15.25,16.03
Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.91,473.51,490.40,510.70,493.53,542.52,592.60,633.82,678.37,740.88,780.47,832.33,917.20,872.48,1009.43,1042.96,1040.73,1080.91,1035.70,851.04,900.77,918.80,962.78,1020.58,925.97,952.07,1012.38,1052.85,1107.26,1154.85,1189.31
Brunei Darussalam,0.00,0.00,0.00,0.00,0.00,10.21,7.42,5.67,5.81,5.77,5.92,6.25,5.44,5.61,6.20,6.72,7.64,7.11,5.49,6.60,10.49,9.45,9.65,10.70,11.82,13.30,15.06,10.16,19.25,11.52,13.66,18.29,16.47,15.79,12.56,6.27,4.18,6.72,7.59,6.39,2.53,8.08,6.90,6.97,7.49,7.67,7.83
Bulgaria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.39,19.60,21.12,22.03,22.76,25.30,27.99,30.94,33.58,37.26,40.28,35.65,34.12,34.85,38.27,40.79,42.54,45.62,49.00,50.04,55.30,59.33,58.89,62.91,65.06,69.37,74.69,79.87,84.68
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.40,0.48,0.61,0.56,0.81,0.57,0.83,0.86,0.89,1.05,1.19,1.45,1.51,1.62,1.86,1.80,1.88,1.86,2.15,2.34,2.50,6.47,3.40,3.08,3.71,4.12,4.69,5.34,6.24,5.71,5.67,6.56,7.59,8.37,9.46,10.26,10.39,11.46,12.50,13.65,14.89,16.24
Burundi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.89,0.86,0.86,0.65,0.64,0.52,0.48,0.55,0.54,0.59,0.56,0.65,0.79,0.99,0.95,1.21,1.76,1.99,1.78,2.14,2.36,2.16,2.32,1.88,1.33,1.29,1.60,1.74,2.06,2.25,2.46,2.48,2.62,2.78,2.92,3.07
Cabo Verde,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.29,0.28,0.27,0.32,0.31,0.33,0.36,0.44,0.42,0.53,0.55,0.64,0.72,0.79,0.75,0.80,0.76,0.72,0.73,0.68,0.85,0.89,1.02,1.08,1.21,0.92,1.15,1.29,1.39,1.52,1.65,1.80
Cambodia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.83,0.82,1.16,1.33,1.44,1.64,1.66,2.02,2.73,3.34,4.47,5.10,5.06,5.94,6.04,7.27,8.58,9.77,10.32,12.06,13.57,16.51,20.46,16.54,18.04,19.17,20.41,22.08,23.96,26.03
Cameroon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.08,5.24,5.58,5.45,5.55,7.02,19.58,8.89,9.48,8.17,8.17,9.43,10.02,10.82,12.00,12.52,12.07,13.06,14.94,15.49,12.75,14.82,16.04,17.11,18.55,19.96,21.35
Canada,106.67,127.51,132.96,139.87,152.87,164.72,175.07,187.64,205.73,220.30,238.20,246.26,255.50,263.77,278.42,293.08,307.35,331.29,348.45,370.71,396.49,397.49,401.26,415.96,437.63,467.73,499.69,521.82,518.94,515.14,520.77,547.53,563.78,597.81,624.97,637.27,676.39,716.84,766.77,801.81,773.07,794.36,855.96,913.58,958.07,995.10,1029.28
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.31,0.30,0.32,0.31,0.35,0.39,0.25,0.32,0.47,0.48,0.41,0.38,0.45,0.27,0.34,0.38,0.75,0.51,0.57,0.61,0.67,0.54,0.73,0.25,0.45,0.47,0.51,0.54,0.74,0.86,1.03,0.89,0.98,1.04,1.09,1.15,1.22
Chad,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.69,0.77,0.74,0.78,0.84,0.87,1.10,1.40,1.45,1.79,2.62,3.36,4.04,2.83,4.40,5.51,5.40,4.32,4.10,3.59,3.04,3.52,3.85,3.76,5.65,4.61,5.15,5.19,5.58,6.37,6.50
Chile,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.08,19.74,22.68,24.34,25.46,28.92,31.69,34.59,35.82,35.21,38.76,41.94,42.67,44.92,51.20,60.34,69.81,78.20,78.43,62.32,74.34,84.88,88.97,89.05,90.08,92.97,93.47,99.69,111.16,112.56,99.29,122.18,128.01,133.53,143.48,149.83,156.56
China,0.00,0.00,98.97,114.83,130.60,152.28,158.89,163.14,163.89,182.21,194.24,194.17,196.70,214.47,211.24,227.11,257.59,300.90,351.00,419.19,491.33,601.81,699.76,797.74,932.32,1103.39,1306.58,1621.05,2238.97,2620.57,3039.81,3711.52,4216.84,4513.38,4834.77,5151.86,5276.69,5510.49,6122.10,6478.97,6178.63,6926.76,7560.38,8227.25,9054.87,9875.77,10755.42
