Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.54,0.78,0.97,1.27,1.84,2.15,2.55,3.19,3.92,5.08,5.04,5.24,5.25,5.04,5.24,5.32,5.29,5.65,5.69,6.03,6.40,6.51,6.42,6.59
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.94,1.19,1.18,1.28,1.37,1.67,2.17,2.33,2.60,3.13,4.09,3.94,3.51,3.73,3.48,3.73,4.20,3.50,3.46,3.80,4.37,4.49,4.95,5.66,5.48,5.76,6.13,6.53,6.96
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.91,12.97,14.14,16.73,13.17,12.36,13.24,14.65,14.91,15.55,15.64,17.11,19.46,21.85,26.25,27.97,33.77,44.86,64.89,58.39,60.05,80.35,91.03,75.90,86.82,76.04,66.68,65.67,66.30,64.70,54.81,59.30,57.49,57.27,57.70,58.34,59.64
Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.65,3.30,2.73,3.90,4.53,3.75,4.77,6.13,7.02,9.81,16.03,24.89,46.63,31.64,33.01,41.81,47.65,50.65,53.12,31.43,22.29,29.07,20.86,17.24,12.43,12.94,12.76,13.29,13.80,14.49,14.97
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.10,0.11,0.13,0.13,0.13,0.12,0.16,0.17,0.19,0.21,0.24,0.23,0.23,0.25,0.34,0.35,0.36,0.44,0.26,0.27,0.25,0.27,0.29,0.36,0.35,0.35,0.37,0.38,0.36,0.40,0.41,0.44,0.45,0.46,0.48
Argentina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.22,66.02,65.96,69.03,73.95,77.31,80.74,80.22,79.41,24.58,31.37,37.98,48.67,61.99,85.08,111.83,115.53,141.68,184.16,213.44,229.93,218.98,265.76,231.18,264.76,204.26,170.35,161.66,0.00,0.00,0.00,0.00,0.00,0.00
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.28,2.06,2.59,2.47,2.43,2.53,2.38,2.65,2.79,2.78,2.85,3.00,3.00,3.39,3.84,3.52,3.57,3.80,4.12,4.44,4.79
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.38,0.38,0.36,0.39,0.40,0.43,0.48,0.51,0.66,0.58,0.61,0.61,0.72,0.69,0.75,0.72,0.80,0.80,0.83,0.75,0.75,0.77,0.79,0.78,1.02,1.04,0.84,0.87,0.90,0.91,0.93
Australia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.16,91.29,98.78,107.26,108.30,105.59,119.23,127.72,142.45,139.93,132.16,149.21,140.95,134.68,148.57,188.91,229.48,254.66,270.58,325.92,370.63,377.84,463.59,550.25,574.01,554.13,536.79,461.03,472.23,509.42,524.02,532.78,611.44,706.06,668.03,670.75,689.30,709.66,735.92
Austria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.55,61.68,77.71,83.02,95.80,102.82,110.18,134.66,132.03,111.37,118.14,109.40,99.98,101.44,112.33,130.91,161.82,161.78,169.42,191.67,215.45,217.28,207.43,219.65,209.80,222.19,231.64,194.93,197.96,204.99,221.77,215.51,248.15,263.88,269.17,274.40,279.90,288.27,298.44
