Country/Region,01-01-1980,01-01-1981,01-01-1982,01-01-1983,01-01-1984,01-01-1985,01-01-1986,01-01-1987,01-01-1988,01-01-1989,01-01-1990,01-01-1991,01-01-1992,01-01-1993,01-01-1994,01-01-1995,01-01-1996,01-01-1997,01-01-1998,01-01-1999,01-01-2000,01-01-2001,01-01-2002,01-01-2003,01-01-2004,01-01-2005,01-01-2006,01-01-2007,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023,01-01-2024,01-01-2025,01-01-2026
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,1.37,1.82,2.28,2.04,4.78,3.11,4.40,4.64,4.72,5.14,4.66,3.60,3.73,3.47,3.49,3.32,3.43,3.14,3.47,3.89,4.07,4.39,4.43,4.93
Albania,0.09,0.99,1.09,1.17,1.21,1.08,1.15,1.19,1.14,1.25,1.11,0.13,0.06,0.28,0.60,0.74,0.58,0.38,0.51,0.63,1.07,1.37,1.53,1.90,2.46,2.97,3.18,3.68,4.30,3.93,3.74,4.32,3.68,3.51,3.61,2.99,3.02,3.22,3.69,3.49,3.46,4.09,4.18,4.54,4.97,5.29,5.63
Algeria,13.80,13.68,13.92,14.89,15.06,16.92,17.18,15.85,12.14,16.04,17.88,14.44,14.65,14.40,13.35,13.28,11.77,11.22,13.18,12.93,12.90,14.69,17.40,20.59,28.38,32.67,35.31,46.53,63.87,64.25,66.79,76.21,81.86,91.01,97.40,84.29,81.26,82.63,82.91,78.68,65.93,74.65,66.00,65.29,63.48,64.12,64.99
Angola,1.06,1.07,1.22,1.05,1.11,1.05,0.99,1.12,0.95,1.10,0.72,1.52,1.98,1.47,1.04,1.41,2.27,1.95,2.29,1.70,3.40,3.33,4.66,5.42,7.28,10.19,12.21,16.79,27.27,30.11,23.63,29.54,34.15,35.74,40.07,39.74,27.52,29.47,21.50,17.60,14.36,14.76,15.43,16.62,18.00,19.46,20.65
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.17,0.34,0.60,0.54,0.38,0.43,0.51,0.55,0.62,0.65,0.68
Argentina,47.55,34.54,16.60,19.53,20.81,13.75,16.57,19.08,21.45,11.39,17.94,25.21,34.35,45.75,50.40,47.31,52.95,60.30,62.01,49.32,48.73,40.98,11.21,18.34,28.94,37.64,43.50,57.87,71.16,53.72,75.20,97.08,95.66,105.82,97.30,109.68,98.34,117.27,101.94,77.31,65.41,70.67,80.69,87.73,94.04,99.82,105.80
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.18,0.27,0.34,0.38,0.43,0.38,0.35,0.34,0.43,0.68,0.82,1.39,2.14,3.51,5.11,2.92,2.72,2.74,2.42,2.46,2.44,2.24,1.90,2.12,2.79,2.39,2.13,2.04,2.24,2.50,2.81,3.16,3.54
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Australia,44.21,54.44,49.57,41.39,52.70,47.50,46.37,56.24,78.16,92.97,85.54,73.83,72.25,73.97,91.42,95.49,105.21,105.52,100.28,108.29,99.86,88.72,107.33,144.79,179.31,205.02,212.22,267.96,299.32,269.58,330.10,406.88,446.75,411.75,385.38,319.57,311.82,336.20,343.02,313.71,303.36,360.52,380.34,401.58,423.59,445.65,468.26
Austria,26.81,20.24,18.23,18.01,18.26,18.45,26.07,32.78,34.28,35.30,44.56,47.05,51.40,48.28,53.41,64.57,62.51,55.85,57.06,56.80,51.17,49.70,50.65,64.00,72.50,75.35,79.40,95.69,105.70,91.40,88.76,104.19,98.22,102.06,104.18,90.94,95.99,103.59,116.30,113.38,107.98,122.47,131.35,138.49,145.52,152.60,159.97
Azerbaijan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.30,0.04,0.57,0.92,1.36,1.48,1.21,1.09,1.13,2.15,3.87,5.03,5.51,6.28,7.12,9.16,8.39,9.56,13.37,15.55,19.03,20.70,14.19,9.72,10.09,9.42,9.68,7.42,8.59,8.54,9.34,10.23,11.20,12.45
