Country/Region,01-01-1980,01-01-1981,01-01-1982,01-01-1983,01-01-1984,01-01-1985,01-01-1986,01-01-1987,01-01-1988,01-01-1989,01-01-1990,01-01-1991,01-01-1992,01-01-1993,01-01-1994,01-01-1995,01-01-1996,01-01-1997,01-01-1998,01-01-1999,01-01-2000,01-01-2001,01-01-2002,01-01-2003,01-01-2004,01-01-2005,01-01-2006,01-01-2007,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023,01-01-2024,01-01-2025,01-01-2026
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.677,21.784,22.521,25.969,28.19,32.808,34.739,42.209,46.304,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.416,81.88,78.729,83.37,89.114,95.23,101.121,107.246,113.629
Albania,5.765,6.671,7.288,7.657,8.092,8.223,8.858,9.004,9.191,10.488,9.792,7.289,6.918,7.762,8.673,9.643,10.713,9.707,10.683,12.235,13.377,14.804,15.721,16.898,18.31,19.923,21.738,23.658,25.927,27,28.328,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.08,41.709,40.737,43.553,46.321,49.263,52.054,54.935,57.925
Algeria,89.845,101.295,114.438,125.341,137.136,149.396,152.099,154.77,157.184,171.187,179.014,182.848,190.008,190.42,192.735,204.348,215.997,222.139,236.096,247.169,262.297,276.091,296.164,323.384,346.37,378.23,396.241,420.61,438.91,449.475,471.156,494.947,497.33,497.988,506.135,477.358,471.382,485.802,503.436,516.522,491.459,514.748,540.873,559.055,576.338,593.544,611.316
Angola,10.902,11.408,12.113,13.116,14.405,15.381,16.146,17.22,18.92,19.67,19.702,22.83,26.013,29.55,33.353,37.582,42.559,46.442,49.168,50.966,53.697,57.183,66.026,69.263,78.918,93.606,107.575,125.941,142.727,145.05,153.871,162.539,186.124,199.866,220.365,204.604,204.875,217.987,218.757,221.326,215.105,219.841,230.169,243.495,257.927,273.21,288.707
Antigua and Barbuda,0.274,0.311,0.33,0.362,0.413,0.458,0.521,0.569,0.62,0.678,0.725,0.766,0.792,0.854,0.93,0.909,0.986,1.058,1.121,1.179,1.286,1.249,1.282,1.385,1.504,1.65,1.916,2.15,2.191,1.941,1.814,1.816,1.772,1.72,1.762,1.77,1.883,1.893,2.073,2.181,1.826,1.804,2.064,2.243,2.425,2.569,2.695
Argentina,172.712,178.194,183.246,197.532,208.754,200.386,219.028,230.12,233.574,225.724,231.04,263.929,297.746,323.854,350.052,347.223,373.122,410.342,430.938,422.36,428.394,418.488,378.796,420.382,470.169,527.728,587.451,657.57,697.557,661.276,736.718,797.264,819.698,849.616,839.897,867.177,885.228,"1039.33","1036.98","1033.46",941.848,"1015.01","1063.68","1110.14","1152.78","1194.64","1235.73"
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,5.611,4.937,5.315,5.862,6.278,6.603,7.096,7.426,8.037,8.99,10.485,12.18,13.818,16.26,18.963,22.149,24.149,20.89,21.598,23.086,27.009,28.5,29.231,29.167,31.429,35.677,38.442,42.095,39.38,40.5,42.886,46.154,49.335,52.568,55.964
Aruba,0,0,0,0,0,0,0.816,0.971,1.193,1.39,1.499,1.673,1.812,1.99,2.2,2.302,2.374,2.584,2.662,2.737,3.011,2.986,2.934,3.047,3.377,3.525,3.67,3.845,3.926,3.507,3.43,3.624,3.552,3.799,3.817,3.893,3.941,4.098,4.247,4.34,3.274,3.499,4.006,4.403,4.777,4.947,5.11
Australia,155.491,177.226,188.295,194.742,214.574,233.439,243.968,262.234,283.028,307.726,324.04,331.646,347.892,370.024,396.443,416.242,441.501,469.628,497.279,526.943,555.014,582.009,615.673,644.54,689.181,732.152,774.721,830.752,869.521,892.594,924.31,970.48,983.744,"1083.48","1111.53","1113.05","1174.07","1232.43","1297.91","1346.78","1329.88","1415.56","1487.44","1555.70","1624.87","1696.18","1770.54"
Austria,84.75,92.676,100.279,107.129,111.363,117.463,122.632,127.777,133.554,144.185,156.081,166.914,174.292,179.361,187.591,196.635,205.037,212.94,223.049,234.317,247.641,256.279,264.633,272.085,287.052,302.635,322.563,343.575,355.373,344.602,355.022,373.031,391.635,406.37,417.06,431.092,460.236,479.433,503.611,519.875,491.5,517.86,550.765,576.174,600.001,622.806,645.914
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,32.774,25.801,21.168,18.796,19.625,21.737,23.302,26.332,28.597,31.119,34.596,38.835,43.571,57.491,79.645,102.61,115.685,127.489,135.151,135.804,148.34,161.865,166.329,144.146,140.23,139.153,144.632,150.48,145.77,151.866,157.933,164.258,170.575,176.933,183.39
The Bahamas,2.661,2.828,3.192,3.542,3.758,4.036,4.225,4.489,4.752,5.052,5.296,5.247,5.161,5.299,5.583,5.95,6.314,6.741,7.138,7.759,8.261,8.664,9.039,9.091,9.418,10.041,10.605,11.048,11.001,10.622,10.911,11.207,11.713,11.703,12.288,12.507,12.908,13.857,14.619,15.061,12.762,13.254,14.706,15.641,16.527,17.154,17.738
Bahrain,7.334,8.251,9.322,10.365,11.188,11.435,11.721,11.864,13.014,13.661,14.669,15.512,16.995,18.721,19.735,20.536,21.592,22.48,23.835,25.623,28.035,29.363,30.826,33.376,36.667,40.368,44.28,49.24,53.331,55.103,58.163,60.556,65.875,67.717,68.276,62.523,63.831,71.282,74.249,77.078,73.804,77.624,81.88,86.305,90.805,95.435,100.223
