Country/Region,01-01-1980,01-01-1981,01-01-1982,01-01-1983,01-01-1984,01-01-1985,01-01-1986,01-01-1987,01-01-1988,01-01-1989,01-01-1990,01-01-1991,01-01-1992,01-01-1993,01-01-1994,01-01-1995,01-01-1996,01-01-1997,01-01-1998,01-01-1999,01-01-2000,01-01-2001,01-01-2002,01-01-2003,01-01-2004,01-01-2005,01-01-2006,01-01-2007,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023,01-01-2024,01-01-2025,01-01-2026
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.37,4.55,5.15,6.17,6.93,8.56,10.30,12.07,15.33,17.89,20.29,20.17,20.64,20.22,17.99,18.91,18.40,18.88,19.13,19.94,21.20,22.01,22.75,23.90,24.55
Albania,1.95,2.23,2.30,2.32,2.29,2.34,2.59,2.57,2.53,2.78,2.22,1.33,0.84,1.46,2.36,2.88,3.20,2.26,2.56,3.21,3.48,3.93,4.35,5.61,7.19,8.05,8.90,10.68,12.88,12.04,11.94,12.90,12.32,12.78,13.25,11.39,11.86,13.05,15.15,15.28,15.15,17.14,18.32,19.66,21.01,22.42,23.90
Algeria,42.35,44.37,44.78,47.53,51.51,61.13,61.54,63.30,51.66,52.56,61.89,46.67,49.22,50.96,42.43,42.07,46.94,48.18,48.19,48.85,54.75,54.75,56.76,67.86,85.33,103.20,117.03,134.98,171.00,137.05,161.21,200.25,209.06,209.76,213.81,165.98,160.03,170.21,175.37,171.07,144.29,151.46,150.14,150.04,150.53,151.91,153.80
Angola,6.64,6.21,6.21,6.48,6.86,8.46,7.92,9.05,9.82,11.42,12.57,12.19,9.40,6.82,4.97,6.20,7.99,9.39,7.96,7.53,11.17,10.93,15.29,17.81,23.55,36.97,52.38,65.27,88.54,70.31,83.80,111.79,128.05,136.71,145.71,116.19,101.12,122.12,105.90,89.60,62.44,66.49,68.53,72.89,78.23,84.37,89.82
Antigua and Barbuda,0.13,0.15,0.16,0.18,0.21,0.24,0.29,0.34,0.40,0.44,0.46,0.48,0.50,0.54,0.59,0.58,0.63,0.68,0.73,0.77,0.83,0.80,0.82,0.86,0.92,1.02,1.16,1.31,1.37,1.22,1.15,1.14,1.20,1.18,1.25,1.34,1.44,1.47,1.61,1.66,1.39,1.38,1.57,1.70,1.84,1.95,2.05
Argentina,233.70,189.80,94.25,116.27,130.54,98.60,118.57,121.56,142.39,91.35,158.02,211.98,255.79,264.43,287.84,288.50,304.28,327.44,334.24,317.00,317.76,300.42,112.46,142.43,164.91,199.27,232.89,287.92,363.55,334.63,424.73,527.64,579.67,611.47,563.61,642.46,556.77,643.86,517.24,444.46,388.28,418.15,434.81,453.97,472.95,491.11,509.76
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.84,0.65,1.29,1.60,1.64,1.89,1.85,1.91,2.12,2.38,2.81,3.58,4.90,6.38,9.21,11.66,8.65,9.26,10.14,10.62,11.12,11.61,10.55,10.55,11.53,12.46,13.67,12.34,12.25,12.96,14.04,15.21,16.53,17.97
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,1.38,1.53,1.67,1.72,1.87,1.90,1.96,2.04,2.26,2.36,2.47,2.68,2.84,2.55,2.45,2.64,2.62,2.73,2.79,2.96,2.98,3.09,3.20,3.34,2.46,2.58,2.95,3.27,3.59,3.75,3.88
Australia,162.63,188.07,186.71,179.15,196.78,174.07,181.15,212.71,270.59,307.72,323.40,323.78,317.48,308.76,352.56,378.14,423.54,425.54,380.61,411.06,399.10,376.71,424.43,539.56,656.74,734.06,781.29,947.89,1055.51,998.93,1251.85,1513.68,1569.32,1518.43,1457.39,1234.82,1266.27,1385.19,1421.30,1391.54,1359.33,1617.54,1693.02,1772.98,1848.92,1929.06,2017.32
Austria,80.92,70.12,70.11,71.03,67.01,68.62,97.38,121.77,133.59,133.26,166.87,174.44,195.51,190.38,203.97,241.23,237.34,213.05,218.56,217.48,197.38,197.51,214.24,262.21,301.32,316.27,336.30,389.23,432.01,401.32,392.60,431.61,409.66,430.20,442.70,382.01,395.73,417.09,455.30,445.13,428.62,481.80,514.96,537.76,560.56,582.13,604.26
