Country/Region,01-01-1980,01-01-1981,01-01-1982,01-01-1983,01-01-1984,01-01-1985,01-01-1986,01-01-1987,01-01-1988,01-01-1989,01-01-1990,01-01-1991,01-01-1992,01-01-1993,01-01-1994,01-01-1995,01-01-1996,01-01-1997,01-01-1998,01-01-1999,01-01-2000,01-01-2001,01-01-2002,01-01-2003,01-01-2004,01-01-2005,01-01-2006,01-01-2007,01-01-2008,01-01-2009,01-01-2010,01-01-2011,01-01-2012,01-01-2013,01-01-2014,01-01-2015,01-01-2016,01-01-2017,01-01-2018,01-01-2019,01-01-2020,01-01-2021,01-01-2022,01-01-2023,01-01-2024,01-01-2025,01-01-2026
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03268227,13.00896912,16.3434897,17.47038506,14.1888727,39.12124344,22.2294861,32.9610081,27.64302496,26.66745654,21.7024878,15.65131792,16.67142108,16.01300488,19.84894968,19.47218856,23.37730952,24.4796636,21.36075228,22.8358767,23.71590882,24.9712106,26.86279365,25.67576486,26.97438831
Albania,1.56352565,2.65852692,2.98975624,3.40575703,3.7906974,3.3574509,3.57101412,3.8208474,3.67878966,3.99183768,4.01628672,-0.58501514,0.65209068,1.81537656,1.89348936,2.07141283,1.7215791,0.990114,1.73438505,2.17819705,3.17944536,4.24919212,3.93905376,4.41984088,5.1925329,5.53540632,6.4322742,5.63935746,4.55511463,4.49658,5.67211544,6.0063237,6.0064722,5.14973508,4.34619969,5.3093538,5.83425856,6.42549765,6.8653032,6.06407151,5.39968935,6.59218208,6.74572723,7.41063309,8.2869968,8.8313506,9.46204875
Algeria,27.3416304,28.3869108,29.76990132,33.57760049,43.70250048,47.40783268,36.67867385,37.9588902,31.70086912,34.8023171,55.63218078,65.94961664,61.52079024,56.8365616,52.28322345,53.64952392,59.91540783,67.63466133,60.0982368,65.53933204,105.6033952,109.7102807,113.5285461,140.0899488,160.334673,197.2204689,217.4253615,240.2482259,252.2020751,212.0038733,230.5649002,237.3072886,223.9675922,218.0091866,208.1783869,163.8579071,161.3116342,172.8046294,190.0571587,185.7723025,173.0083118,213.9653012,190.6306889,204.664445,202.6750211,210.4291543,220.2388153
Angola,1.93009008,1.7231784,1.50431347,1.50348708,2.07964985,1.81311228,0.8734986,2.43663,0.507056,1.7878063,6.38265992,8.6055402,11.03263356,13.4278155,15.95007166,19.62945442,32.24525194,18.34969862,17.51560832,18.51034154,20.19973746,9.95041383,18.10564972,18.02015471,26.47146474,38.52635748,46.71874675,50.05273163,53.79523357,38.1902145,53.59788543,61.56327164,69.29024272,63.97111062,65.68419555,58.29372564,50.16774125,50.90214437,59.81253894,56.18139184,48.18136895,50.53485067,52.86291423,55.0006506,58.06710551,62.9229951,64.89844653
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04914218,0.1248204,0.18357367,0.2886825,0.47685219,0.56136759,0.26137364,0.11173976,0.36349104,0.47784872,0.58842625,0.66187716,0.7200501
Argentina,35.83428576,32.45981904,31.7840187,33.5014272,34.0373397,34.54855026,35.5153902,33.4433396,36.36046458,34.01886404,35.7465088,34.01780881,36.9502786,45.33632146,48.96877428,61.32652626,56.15859222,60.16434404,61.0639146,49.5935112,53.37360846,51.578646,66.78552276,77.66137068,90.9777015,112.7332554,126.1316042,145.9739643,146.9403821,120.4844872,127.6216591,138.612319,132.2418783,128.7932894,131.309497,124.2491206,132.341586,139.0520945,150.1964729,170.4789018,167.630107,195.013487,211.2671285,223.6486029,237.1266403,249.0952204,261.2829626
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22486632,0.18168532,0.2608185,0.04924624,0.28463858,0.19706724,0.4858196,1.25180415,2.2180998,2.8623987,4.2020718,5.90792265,6.82277796,7.14448165,3.6219082,3.41183606,3.8230416,3.45634173,4.220565,3.87515367,5.39764502,5.34072997,6.03440778,5.95735674,4.30421375,4.9859018,4.016385,4.60123894,5.24217132,6.0830055,6.88745936,7.78347312
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6804712,0.62666478,0.68571608,0.73774668,0.71668345,0.87900123,0.76447572,0.66097152,0.6566285,0.85613704,0.85520025,0.8318055,0.84193965,0.94424226,0.62855961,0.4546465,0.45231144,0.46474368,0.57102769,0.6404926,0.83353023,0.86607416,0.89516712,0.88116756,0.9280222,-0.24623754,-0.1207155,0.46453576,0.71266958,0.93428566,1.00013499,1.0565436
Australia,33.86127507,37.07390694,35.40134295,33.0671916,43.30317894,42.89441625,43.06523136,53.01847012,71.13342724,77.6546561,74.1014672,60.33967324,66.53086608,77.32391528,85.65547458,85.8707246,94.81675476,102.378904,107.2431891,108.5344497,118.1014291,123.5954312,132.462046,138.3956288,145.2173285,159.7043158,164.5197516,177.2243242,209.5197802,197.7631266,213.5618255,230.9160112,235.272215,257.4678277,258.875337,240.5067636,244.4531147,270.7892999,284.241414,313.8944807,326.7643234,348.9506816,348.5220664,357.3440603,366.9283692,378.7237402,389.6079872
Austria,21.9663525,22.79644248,23.71297513,23.54481162,25.63019445,27.01414074,28.32308672,29.77842985,31.83126036,36.0664359,40.16276292,42.16748382,42.22572284,41.12209647,42.87392305,47.15110665,48.18164463,50.3986392,54.09607397,55.90100669,62.45753661,62.44237835,68.12976585,70.62510345,75.02678124,78.9393134,86.78557515,97.53063525,102.9053596,87.43241944,90.39925186,96.13381901,99.710271,104.2989242,108.4606236,110.0620985,124.1762752,125.6593893,134.9727841,147.1974075,135.33944,144.1359738,154.0985394,162.3946419,169.5662826,176.9516407,185.2610535
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,-3.67199896,2.73155187,-0.75950784,1.29335276,0.08635,3.00274918,1.44775326,2.47942112,4.63929131,6.08438688,6.79880592,9.09243855,11.06224119,22.25131664,35.2843279,45.7897125,57.2316832,50.74572156,59.65429989,62.83515276,64.9106172,68.33454705,67.32332604,39.42104808,30.9557725,38.05556244,44.1995392,42.8100552,23.0972565,26.82257292,25.39720573,27.93700064,30.553394,33.4226437,36.9512511
The Bahamas,0.35670705,0.3093832,0.37790088,0.45468654,0.47580038,0.52379208,0.564798,0.44607193,0.46270224,0.67636176,0.78094816,0.63378513,0.67825862,0.65712899,0.67029498,0.651763,0.61473104,1.65552219,1.57985354,2.33499346,2.38536375,2.01619944,2.16601557,2.17593085,2.3248333,2.45361876,2.4281208,2.397416,2.2871079,2.09858854,2.13626469,2.13459729,1.99753502,1.76937657,1.6072704,1.46682096,2.39353044,1.94427567,2.07911418,4.13816036,1.3227813,0.78609474,0.97971372,1.31712861,1.81516041,1.98334548,2.08084478
Bahrain,2.3113101,3.05278749,3.71360514,3.16329435,4.26452996,2.99997225,0.70314279,1.76785464,1.6488738,2.11403975,3.13975276,3.12194512,3.13268835,3.32279029,3.9316067,5.38515528,5.79226992,5.73802,3.3197388,3.8101401,7.28489475,6.14450138,7.65286276,8.35701664,5.9107204,11.46208992,15.7765212,20.7659852,21.08601078,15.8255816,17.60884825,18.87712188,24.0641375,22.58091082,21.44344332,15.1118091,16.01392128,20.56913392,21.18992211,23.90497092,18.3550548,23.20724728,24.4968584,25.4875926,27.15341915,29.83202665,32.03327526
Bangladesh,0,8.6334044,9.52680264,9.87364348,10.10378694,11.22976328,12.11311392,12.13175856,13.01177075,14.76137805,16.4933376,19.69768052,20.70673696,20.6072328,22.97217867,25.18361175,28.19675313,32.14869784,34.70344267,37.9380393,42.21007763,44.1054857,48.83728728,55.4585278,61.88484951,68.89493457,80.4804489,88.20035695,94.53116356,103.25322,114.0118345,121.5774133,141.4601165,155.4459262,161.8410208,172.7702798,203.4065739,212.0240539,215.5562926,252.8393704,229.4897803,304.7520502,315.2972027,347.257629,390.1054458,440.7538867,479.1238266
Barbados,0.27501795,0.19704597,0.25742524,0.21915036,0.26937512,0.25829766,0.2590222,0.22665385,0.348696,0.40279107,0.3545076,0.29915291,0.36067822,0.33486563,0.45299131,0.44161152,0.5000422,0.48933448,0.57312077,0.55120474,0.56978274,0.4727535,0.5082548,0.6155462,0.41273496,0.43577963,0.48230199,0.66269568,0.4172871,0.50301584,0.5131035,0.24172746,0.33453144,0.3556888,0.31624074,0.47818504,0.55318906,0.53518517,0.47537532,0.54727922,0.38204482,0.20047192,0.3722346,0.47482332,0.54803544,0.6555521,0.736119
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3367112,6.16548114,8.02219577,8.20927514,9.65971468,10.23249136,11.8591354,13.12309395,12.96450528,13.56163704,16.01724189,19.29146355,27.59616848,29.78090388,32.1401493,38.84302496,33.1598201,38.1778787,45.4222756,55.17514842,51.6125665,50.65022796,44.14323936,38.90379778,45.647327,51.56039226,51.49806344,52.4374642,48.4550703,46.9722066,48.38207625,52.30001549,54.07131507,57.04619676
